time,voltage
1.6761718788E-03,4.203600E-01
1.6761968788E-03,4.205300E-01
1.6762218788E-03,4.207000E-01
1.6762468788E-03,4.208700E-01
1.6762718788E-03,4.210300E-01
1.6762968788E-03,4.211200E-01
1.6763218788E-03,4.212000E-01
1.6763468788E-03,4.212000E-01
1.6763718788E-03,4.212900E-01
1.6763968788E-03,4.213700E-01
1.6764218788E-03,4.212900E-01
1.6764468788E-03,4.212000E-01
1.6764718788E-03,4.212900E-01
1.6764968788E-03,4.213700E-01
1.6765218788E-03,4.215400E-01
1.6765468788E-03,4.217100E-01
1.6765718788E-03,4.218800E-01
1.6765968788E-03,4.219600E-01
1.6766218788E-03,4.220500E-01
1.6766468788E-03,4.220500E-01
1.6766718788E-03,4.220500E-01
1.6766968788E-03,4.218800E-01
1.6767218788E-03,4.217100E-01
1.6767468788E-03,4.215400E-01
1.6767718788E-03,4.215400E-01
1.6767968788E-03,4.215400E-01
1.6768218788E-03,4.215400E-01
1.6768468788E-03,4.216300E-01
1.6768718788E-03,4.218000E-01
1.6768968788E-03,4.219600E-01
1.6769218788E-03,4.220500E-01
1.6769468788E-03,4.219600E-01
1.6769718788E-03,4.219600E-01
1.6769968788E-03,4.219600E-01
1.6770218788E-03,4.219600E-01
1.6770468788E-03,4.221300E-01
1.6770718788E-03,4.223000E-01
1.6770968788E-03,4.225600E-01
1.6771218788E-03,4.228100E-01
1.6771468788E-03,4.229800E-01
1.6771718788E-03,4.231500E-01
1.6771968788E-03,4.232300E-01
1.6772218788E-03,4.230600E-01
1.6772468788E-03,4.228100E-01
1.6772718788E-03,4.225600E-01
1.6772968788E-03,4.223900E-01
1.6773218788E-03,4.222200E-01
1.6773468788E-03,4.221300E-01
1.6773718788E-03,4.220500E-01
1.6773968788E-03,4.219600E-01
1.6774218788E-03,4.219600E-01
1.6774468788E-03,4.218800E-01
1.6774718788E-03,4.218000E-01
1.6774968788E-03,4.217100E-01
1.6775218788E-03,4.215400E-01
1.6775468788E-03,4.212900E-01
1.6775718788E-03,4.209500E-01
1.6775968788E-03,4.204400E-01
1.6776218788E-03,4.200200E-01
1.6776468788E-03,4.197700E-01
1.6776718788E-03,4.197700E-01
1.6776968788E-03,4.200200E-01
1.6777218788E-03,4.205300E-01
1.6777468788E-03,4.210300E-01
1.6777718788E-03,4.216300E-01
1.6777968788E-03,4.219600E-01
1.6778218788E-03,4.222200E-01
1.6778468788E-03,4.222200E-01
1.6778718788E-03,4.221300E-01
1.6778968788E-03,4.220500E-01
1.6779218788E-03,4.218800E-01
1.6779468788E-03,4.218000E-01
1.6779718788E-03,4.217100E-01
1.6779968788E-03,4.215400E-01
1.6780218788E-03,4.212900E-01
1.6780468788E-03,4.210300E-01
1.6780718788E-03,4.208700E-01
1.6780968788E-03,4.207000E-01
1.6781218788E-03,4.203600E-01
1.6781468788E-03,4.201000E-01
1.6781718788E-03,4.197700E-01
1.6781968788E-03,4.194300E-01
1.6782218788E-03,4.190900E-01
1.6782468788E-03,4.186700E-01
1.6782718788E-03,4.184100E-01
1.6782968788E-03,4.181600E-01
1.6783218788E-03,4.181600E-01
1.6783468788E-03,4.182400E-01
1.6783718788E-03,4.185800E-01
1.6783968788E-03,4.190000E-01
1.6784218788E-03,4.195100E-01
1.6784468788E-03,4.200200E-01
1.6784718788E-03,4.205300E-01
1.6784968788E-03,4.209500E-01
1.6785218788E-03,4.212900E-01
1.6785468788E-03,4.214600E-01
1.6785718788E-03,4.213700E-01
1.6785968788E-03,4.212000E-01
1.6786218788E-03,4.209500E-01
1.6786468788E-03,4.207000E-01
1.6786718788E-03,4.205300E-01
1.6786968788E-03,4.204400E-01
1.6787218788E-03,4.204400E-01
1.6787468788E-03,4.205300E-01
1.6787718788E-03,4.205300E-01
1.6787968788E-03,4.205300E-01
1.6788218788E-03,4.204400E-01
1.6788468788E-03,4.204400E-01
1.6788718788E-03,4.203600E-01
1.6788968788E-03,4.203600E-01
1.6789218788E-03,4.202700E-01
1.6789468788E-03,4.201900E-01
1.6789718788E-03,4.201000E-01
1.6789968788E-03,4.201000E-01
1.6790218788E-03,4.202700E-01
1.6790468788E-03,4.205300E-01
1.6790718788E-03,4.209500E-01
1.6790968788E-03,4.212900E-01
1.6791218788E-03,4.215400E-01
1.6791468788E-03,4.218000E-01
1.6791718788E-03,4.219600E-01
1.6791968788E-03,4.220500E-01
1.6792218788E-03,4.221300E-01
1.6792468788E-03,4.221300E-01
1.6792718788E-03,4.219600E-01
1.6792968788E-03,4.218000E-01
1.6793218788E-03,4.215400E-01
1.6793468788E-03,4.213700E-01
1.6793718788E-03,4.211200E-01
1.6793968788E-03,4.209500E-01
1.6794218788E-03,4.207800E-01
1.6794468788E-03,4.206100E-01
1.6794718788E-03,4.204400E-01
1.6794968788E-03,4.202700E-01
1.6795218788E-03,4.202700E-01
1.6795468788E-03,4.203600E-01
1.6795718788E-03,4.205300E-01
1.6795968788E-03,4.207800E-01
1.6796218788E-03,4.210300E-01
1.6796468788E-03,4.210300E-01
1.6796718788E-03,4.208700E-01
1.6796968788E-03,4.206100E-01
1.6797218788E-03,4.203600E-01
1.6797468788E-03,4.200200E-01
1.6797718788E-03,4.197700E-01
